Tx;Time;Msg Type;Amount;Amount / 100;Asset;ToAddress;Administrator;FromAddress;;Asset;;;;;Total Tx
A9E3C10F45E7F378E8558B9EACB7A14654FC3AFCE651DFEE3CC7635D444D135D;2022-07-22T11:32:30.413Z;/cosmos.bank.v1beta1.MsgSend;383;3,83;cfigurepayomni;pb1ksfxlh23kk28lpf07ql0e9genwhv3y6upaa4lr;undefined;pb1zpqjcy3943ut0gfcmseavxd4jqnj4g4w4gevx0;;fmpb1yhuc96qvx9ln4lv36sug5a0d3t7n7fravvedkq;;;;;25
0139060719F62F6BF5FFB36179762030188B72A3602C80A465820627C556D5F2;2022-07-23T01:40:07.946Z;/provenance.marker.v1.MsgWithdrawRequest;1;0,01;pm.securitization.contribution.s7cih7akm0eywnei4xy0x;pb1fzte9yhk58mq244l30vp4e62rtrrpf2td059p5;pb1zsherr3eat6gvq9ptg3m0n3dj33xf2mwevk3ca;undefined;;hash;;;;;1
5D9EAB605FF34D573EF399D0827FF14CE34B7B096B68DDDD7925B3CE3B1EED90;2022-07-22T01:30:55.066Z;/provenance.marker.v1.MsgWithdrawRequest;50000;500;cfigurepayomni;pb12jga5cmcm2z8mcxxnaek4mzjxzchclg3s40skz;pb1g2m2vp59amxd0hp5502e22hp0yprujd23z4qah;undefined;;nhash;;;;;618
F96FE93532DBFCA847BC360BB92B089EE969078E6ACFBB517C839E53D68F0CBD;2022-07-22T01:30:37.561Z;/provenance.marker.v1.MsgWithdrawRequest;48464;484,64;cfigureomni;pb1kwr3lhuye39v4etn7gjg2rfuujcfluwpd7e252;pb13p3fe2ydk7p6q9th5gl5ha4vmnz3ztpheqmkvz;undefined;;osmo-systems.cs.stock;;;;;13
81FE2FA746EA3B9D0F120A79708EE40B9FB00709CFC5C099989CFB83D1B958A9;2022-07-21T23:26:09.945Z;/provenance.marker.v1.MsgWithdrawRequest;992735583;9927355,83;cfigurelendingomni;pb13dfvqt7zyp69z3el72qsu6z3f0egh9xfng9jvt;pb1vm73d2qtvs86e2dguxt40tjzhv37r36h40wtqg;undefined;;osmo-systems.es.stock;;;;;21
E105CAC9B47A398ECFBB7BD633A74C9AC42BDF2C53A12D71023230DF75D54A4B;2022-07-22T01:30:12.931Z;/provenance.marker.v1.MsgWithdrawRequest;87375;873,75;cfigureomni;pb1n8tn3pfuqpvs7mkj6892pxdmyg3syldd3mr9hs;pb13p3fe2ydk7p6q9th5gl5ha4vmnz3ztpheqmkvz;undefined;;osmo-systems.ss1.stock;;;;;14
ACB47D14392CAE3E6846C1B7D8A5957AEFAAD87A8E3465FDD6D47B3970C6EB3A;2022-07-21T23:22:32.682Z;/provenance.marker.v1.MsgWithdrawRequest;121507280;1215072,8;cguaranteedrateomni;pb1ue8c6wvts6dmshrqf0f7jlrzss90fswf6rrsek;pb1ez7yl9ae9wkx8w40ugpr7zdzalgm88he6g26ps;undefined;;osmo-systems.ss2.stock;;;;;15
8FFBBB5FB0A5B9E0A6D899CD90ED2CD68E2F59D511E7ADFAD450CD8A536FC37D;2022-07-21T20:17:13.310Z;/provenance.marker.v1.MsgWithdrawRequest;604797;6047,97;osmo-systems.ss2.stock;pb16efa5ygssdv5gd2atr0s97hrs7yfh4r4ajwapv;pb1us4twdsysm4sgt750k3ler8hfhseyzdk8tcvre;undefined;;pm.participation.agreement.1cag7ztnmm4rdbbtwdrodb;;;;;1
2967A1C811FF76CA73C78EB0E8ED4038A9574A9E47C0995D42B95A4EBB0C3DEA;2022-07-21T20:17:01.312Z;/provenance.marker.v1.MsgWithdrawRequest;237017;2370,17;osmo-systems.ss2.stock;pb1t2zsmd5jvn7hlx7yw9tgsxtjv6j3u575u8443c;pb1us4twdsysm4sgt750k3ler8hfhseyzdk8tcvre;undefined;;pm.participation.agreement.1movu45ofufqv24486bunj;;;;;1
530A630BDEBC333D34F584C361F842F066B1C206B567884619254EF1A27B6803;2022-07-21T20:17:06.589Z;/provenance.marker.v1.MsgWithdrawRequest;29507;295,07;osmo-systems.ss2.stock;pb1hem3s3udyaux3f0vyuy9dj8yhzc38ejrcrkl4t;pb1us4twdsysm4sgt750k3ler8hfhseyzdk8tcvre;undefined;;pm.participation.agreement.29autwuwr0zux90qgqc1ek;;;;;1
